FerryName,Class,YearBuiltRebuilt,AutoCapacity,PassengerCapacity,Notes,Picture
Hiyu,None,1967,34,200,"Standby vessel, not used for regular service.",http://www.evergreenfleet.com/hiyu/IMG_0943.jpg
Chetzemoka,Kwa-di Tabil,2010,64,750,,https://c2.staticflickr.com/6/5026/5890086722_b532c4ea20_z.jpg
Salish,Kwa-di Tabil,2011,64,750,,https://c2.staticflickr.com/8/7003/6590298779_7d8f212668_z.jpg
Kennewick,Kwa-di Tabil,2011,64,750,,http://cloud4.wsbcdn.com/blog/wp-content/uploads/2011/10/kennewickwithseattleindistance.jpg
Evergreen State,Evergreen State,1954 (1988),87,983,"Retired on June 29, 2014, but pressed back into service a few weeks later due to a vessel shortage.",http://orcasissues.com/wp-content/uploads/2014/06/16484563.jpg
Klahowya,Evergreen State,1958 (1995),87,800,,http://static.panoramio.com/photos/large/55936829.jpg
Tillikum,Evergreen State,1959 (1994),87,1061,,https://c1.staticflickr.com/9/8252/8643787271_1c5fcbe490_z.jpg
Sealth,Issaquah 100,1982 (2006),90,1200,,https://farm6.staticflickr.com/5109/5856174168_d80ea5bff5.jpg
Issaquah,Issaquah 130,1979 (1989),124,1200,Auto capacity increased in 1989.,http://upload.wikimedia.org/wikipedia/commons/b/b4/Ferry_Issaquah_from_Ferry_Klahowya.jpg
Kittitas,Issaquah 130,1980 (1990),124,1200,Auto capacity increased in 1990.,http://thecareyadventures.com/blog/wp-content/uploads/2012/12/PeterWestCarey-Sunset2012-1221-0228.jpg
Kitsap,Issaquah 130,1980 (1992),124,1200,Auto capacity increased in 1992.,https://c1.staticflickr.com/7/6135/5998190560_51de818a52_z.jpg
Cathlamet,Issaquah 130,1981 (1993),124,1200,"Auto capacity increased in 1993.Upgraded to meetæSOLASstandards foræSidney, BCæroute.",https://tau0.files.wordpress.com/2011/03/ferry_cathlamet_arriving.jpg
Chelan,Issaquah 130,1981 (2004),124,1076,Auto capacity increased in 2001.,http://www.theviewfromrighthere.com/blog/wp-content/main/2011_03/MV-Chelan-and-MV-Wenatchee-on-Elliott-Bay.jpg
Hyak,Super,1967,144,2000,,http://sanjuanupdate.com/wp-content/uploads/2015/02/WSF-Ferry-MV-Hyak.jpg
Kaleetan,Super,1967 (1999),144,2000,,http://www.rebels-by-bus.net/wp-content/uploads/view-from-taxi-3.jpg
Yakima,Super,1967 (2000),144,2000,,http://www.evergreenfleet.com/sitebuilder/images/2013-10-06__09--BSWAN2-1004x550.jpg
Elwha,Super,1968 (1991),144,1076,"Upgraded to meet SOLAS standards for Sidney, BC route.",http://www.fridayharbornow.com/800px-Elwha.jpg
Tokitae,Olympic,2014,144,1500,,https://wildninja.files.wordpress.com/2012/11/wa-state-ferry.jpg
Samish,Olympic,2015,144,1500,"Currently under construction, expected to go into service on the San Juan Islands route in early 2015.",http://farm8.staticflickr.com/7348/12228470366_f7ea12b663_b.jpg
Chimacum,Olympic,2017,144,1500,"Currently under construction, expected to go into service in early 2017.",http://farm8.staticflickr.com/7348/12228470366_f7ea12b663_b.jpg
Spokane,Jumbo,1972 (2003),188,2000,,http://men.myedmondsnews.netdna-cdn.com/wp-content/uploads/2012/04/an-Edmonds-ferry-the-Spokane-passes-beneath-the-Olympics-on-its-way-from-Kingston-to-Edmonds-IMG_5108-1-brypic.jpg
Walla Walla,Jumbo,1972,188,2000,,http://www.transportationissuesdaily.com/wp-content/uploads/2012/11/Wa-State-Ferry-Walla-Walla.-Image-Jim-Culp-WSDOT-Flickr.jpg
Tacoma,Jumbo Mark II,1997,202,2500,"Broke down on July 29, 2014, out of service until Spring 2015 for repairs.",https://tugster.files.wordpress.com/2010/07/0aaas1.jpg
Wenatchee,Jumbo Mark II,1998,202,2500,,http://upload.wikimedia.org/wikipedia/commons/1/12/Ferry_Wenatchee_enroute_to_Bainbridge_Island_WA.jpg
Puyallup,Jumbo Mark II,1999,202,2500,,http://www.evergreenfleet.com/puyallup/puyallup_laplante.jpg
