FerryName,Class,YearBuiltRebuilt,YearInService,YearRetired,AutoCapacity,PassengerCapacity,Notes,Picture
Chippewa,None,1900 (1928/ 1932),1951,1964,52,950,Converted to a car ferry in 1926,http://www.evergreenfleet.com/sitebuilder/images/chippewa_truck-510x361.jpg
Leschi,None,1913,1951,1967,40,453,Previously owned by King County and used onæLake Washington,http://3.bp.blogspot.com/-BvWuO5T-b_Y/T_DWcwzEeoI/AAAAAAAAK-w/KZu-491ZHLg/s1600/leschi100.jpg
San Mateo,None,1922,1951,1969,50,659,Purchased by PSN in 1941,http://ecx.images-amazon.com/images/I/51JMZ-o0glL._SX425_.jpg
Shasta,None,1922,1951,1958,55,468,Purchased by PSN in 1941,http://www.evergreenfleet.com/sitebuilder/images/2009_1020_120738AA-562x241.jpg
Rosario,None,1923 (1931),1951,1951,33,312,,http://2.bp.blogspot.com/-X6fDmkvHvWA/VL2lOIq7inI/AAAAAAAAGD4/f-AZpcxWkmE/s1600/ROSARIO%2Bferry%2B1931.jpg
Kitsap(1925),None,1925,1951,1961,32,325,,http://www.evergreenfleet.com/sitebuilder/images/Untitled-4-319x216.jpg
Crosline,None,1925 (1947),1951,1967,30,300,Purchased by the state in 1947,http://www.evergreenfleet.com/sitebuilder/images/crosline58-481x330.jpg
Kehloken,Wood Electric,1926,1951,1972,50,770,Purchased by PSN in 1940,http://www.evergreenfleet.com/sitebuilder/images/KehlokennearEdmonds-HDemoro-SJPcollneg-1026x349.jpg
Kalakala,None,1926 (1935),1951,1967,110,1943,Originally built as MVPeralta in 1926; rebuilt as Kalakala in 1935 using Peralta's hull,https://lh4.googleusercontent.com/-qYapqkpzAhc/UX23RVdlrAI/AAAAAAAAupc/mB9pzwgLMxM/s640/postcards270.jpg
Enetai,Steel Electric,1927,1951,1967,90,1500,Purchased by PSN in 1940 and converted to a single-ended ferry,http://www.evergreenfleet.com/sitebuilder/images/enetai-rarecard2-556x305.jpg
Willapa,Steel Electric,1927,1951,1967,90,1500,Purchased by PSN in 1940 and converted to a single-ended ferry,http://www.evergreenfleet.com/sitebuilder/images/enetai-rarecard2-556x305.jpg
Chetzemokaæ(1927),Wood Electric,1927,1951,1973,50,400,Purchased by PSN in 1938,http://www.evergreenfleet.com/sitebuilder/images/chetzemoka_bb-575x331.jpg
Quinault,Steel Electric,1927 (1958/ 1985),1951,2007,59,616,Purchased by PSN in 1940,http://ww3.hdnux.com/photos/02/57/27/718294/0/960x540.jpg
Illahee,Steel Electric,1927 (1958/ 1986),1951,2007,59,616,Purchased by PSN in 1940,http://images.fineartamerica.com/images-medium-large/ferry-illahee-james-williamson.jpg
Nisqually,Steel Electric,1927 (1958/ 1987),1951,2007,59,616,Purchased by PSN in 1940,http://images.fineartamerica.com/images-medium-large-5/washington-state-ferry-nisqually-paul-haist.jpg
Klickitat,Steel Electric,1927 (1981),1951,2007,64,412,Purchased by PSN in 1940,http://ww2.hdnux.com/photos/02/51/57/695293/3/628x471.jpg
Klahanie,Wood Electric,1928,1951,1972,50,601,Purchased by PSN in 1940,http://www.evergreenfleet.com/klahanie/phillipjfry.jpg
Skansonia,None,1929,1951,1969,32,465,Operated under a state contract since 1940 after the Tacoma Narrows Bridge collapsed,http://www.manorlord.com/skansonia.jpg
Vashon,None,1930,1951,1980,50,646,,http://www.evergreenfleet.com/sitebuilder/images/CORRECTED_VASHON_LAUNCHPHOTO_MANDPC-478x290.jpg
Olympic,None,1938,1954,1993,55,605,Purchased by WSF in 1954,http://www.lofallcc.org/images/olympic.jpg
Rhododendron,None,1947 (1990),1954,2012,48,546,"Purchased by WSF in 1954, sold to Atlantic Capes Fisheries in 2013",http://www.evergreenfleet.com/hiyu/IMG_0943.jpg
Kulshan,None,1954,1970,1982,65,350,"Purchased by WSF in 1970, sold in 1982 and renamed MV Governor",http://www.evergreenfleet.com/kulshan/cc_06.jpg
Tyee,None,1985,1985,2003,0,250,"Operating as M/VGlacier ExpressæinKenai Fjords National Park, Alaska as of 2013[7][8]",http://ww1.hdnux.com/photos/02/31/63/630008/3/628x471.jpg
Kalama,Skagit/ Kalama,1989,1989,2009,0,230,Sold in 2011,http://maritimematters.com/wp-content/uploads/2012/07/KALAMA-in-TanzaniaW.jpg
Skagit,Skagit/ Kalama,1989,1989,2009,0,230,"Sold in 2011; capsized on July 18, 2012",http://www.peninsuladailynews.com/apps/pbcsi.dll/bilde?Site=PT&Date=20120719&Category=news&ArtNo=307199997&Ref=AR&maxw=350
Chinook,Passenger-Only Fast Ferry,1998,1998,2008,0,350,"Sold to Golden Gate Ferries, renamed MVGolden Gate",http://www.evergreenfleet.com/chinook/wsf_chinook_01.jpg
Snohomish,Passenger-Only Fast Ferry,1999,1999,2008,0,350,"Sold to Golden Gate Ferries, renamed MVNapa",http://mvdirona.com/blog/content/binary/Snohomish.jpg
